,date,region,population,disease,"European Standard population rate per 100,000"
215,2019-06-10,Yorkshire and The Humber,3393833.0,4673.0,146.0921429599924
216,2019-06-17,East,5546988.0,7548.0,140.47069280006326
217,2019-06-17,East Midlands,4142373.0,5788.0,143.7090775243638
218,2019-06-17,London,1636811.0,1558.0,139.25275046394734
219,2019-06-17,North East,1093904.0,1511.0,144.02775942290393
220,2019-06-17,North West,2054940.0,3056.0,145.99265733144384
221,2019-06-17,South East,1571910.0,1943.0,120.03427386092855
222,2019-06-17,South West,3262832.0,4949.0,139.5875371621568
223,2019-06-17,West Midlands,988005.0,1255.0,145.07849429485825
224,2019-06-17,Yorkshire and The Humber,3394616.0,4620.0,144.36097479660393
225,2019-06-24,East,5549063.0,7755.0,144.5443248274401
226,2019-06-24,East Midlands,4143437.0,5805.0,144.35104361834465
227,2019-06-24,London,1638379.0,1611.0,146.35057819780383
228,2019-06-24,North East,1094054.0,1569.0,149.0779431328805
229,2019-06-24,North West,2055282.0,3185.0,152.0529910772255
230,2019-06-24,South East,1573107.0,1943.0,119.80932289012168
231,2019-06-24,South West,3263551.0,5013.0,141.11355393883218
232,2019-06-24,West Midlands,988151.0,1269.0,147.0711989748341
233,2019-06-24,Yorkshire and The Humber,3395141.0,4648.0,145.60412323141492
234,2019-07-01,East,5550169.0,7533.0,139.96566223870676
235,2019-07-01,East Midlands,4143445.0,5860.0,145.191622751252
236,2019-07-01,London,1639023.0,1518.0,138.28774432723512
237,2019-07-01,North East,1093893.0,1528.0,145.4471708569482
238,2019-07-01,North West,2055062.0,3097.0,147.57234554417718
239,2019-07-01,South East,1572953.0,1857.0,114.15389783521682
240,2019-07-01,South West,3263498.0,5021.0,140.93795428069288
241,2019-07-01,West Midlands,987987.0,1261.0,145.53656859423208
242,2019-07-01,Yorkshire and The Humber,3395014.0,4304.0,133.94196828008995
243,2019-07-08,East,5554109.0,7688.0,142.9663064760837
244,2019-07-08,East Midlands,4145630.0,5740.0,142.22864281836712
245,2019-07-08,London,1641100.0,1595.0,143.2596885347821
246,2019-07-08,North East,1094385.0,1526.0,145.3407413110186
247,2019-07-08,North West,2055905.0,3004.0,143.2179159347249
248,2019-07-08,South East,1573643.0,1935.0,118.98887373911175
249,2019-07-08,South West,3265219.0,4825.0,135.3979962841073
250,2019-07-08,West Midlands,988353.0,1196.0,137.90600828317235
251,2019-07-08,Yorkshire and The Humber,3396342.0,4217.0,131.62314482987307
252,2019-07-15,East,5555798.0,7523.0,139.96767335032908
253,2019-07-15,East Midlands,4146019.0,5892.0,146.2417187371698
254,2019-07-15,London,1642143.0,1545.0,139.10291804513625
255,2019-07-15,North East,1094481.0,1495.0,141.65189534120964
256,2019-07-15,North West,2056205.0,3010.0,143.67314727574427
257,2019-07-15,South East,1573512.0,1911.0,117.6380593456064
258,2019-07-15,South West,3265925.0,5053.0,142.1649595121797
259,2019-07-15,West Midlands,988523.0,1258.0,144.52660717352387
260,2019-07-15,Yorkshire and The Humber,3396452.0,4176.0,130.36409497893726
261,2019-07-22,East,5558020.0,7544.0,140.4099329036999
262,2019-07-22,East Midlands,4146768.0,5717.0,142.07264288977785
263,2019-07-22,London,1643701.0,1505.0,136.9139589608541
264,2019-07-22,North East,1094709.0,1585.0,151.2759467043907
265,2019-07-22,North West,2056532.0,3060.0,146.04942949862627
266,2019-07-22,South East,1573656.0,1943.0,119.6616338860289
267,2019-07-22,South West,3266633.0,4860.0,136.62066188177337
268,2019-07-22,West Midlands,988590.0,1200.0,138.83512140189035
269,2019-07-22,Yorkshire and The Humber,3397037.0,4261.0,133.40432808568045
270,2019-07-29,East,5559742.0,7546.0,140.57238258211555
271,2019-07-29,East Midlands,4147597.0,5605.0,139.15918554246264
272,2019-07-29,London,1645147.0,1475.0,132.68538558439468
273,2019-07-29,North East,1094909.0,1597.0,152.57783907166652
274,2019-07-29,North West,2056700.0,2933.0,139.7932382945867
275,2019-07-29,South East,1573816.0,1908.0,117.69612863131307
276,2019-07-29,South West,3267328.0,4850.0,135.87254861951013
277,2019-07-29,West Midlands,988631.0,1184.0,136.8280163697675
278,2019-07-29,Yorkshire and The Humber,3397684.0,4426.0,138.10574824804456
279,2019-08-05,East,5561522.0,7328.0,136.07018867983314
280,2019-08-05,East Midlands,4148457.0,5504.0,136.3942278860892
281,2019-08-05,London,1646526.0,1523.0,138.12895519168063
282,2019-08-05,North East,1094929.0,1523.0,144.87266153676308
283,2019-08-05,North West,2056784.0,2935.0,140.22088151006608
284,2019-08-05,South East,1573830.0,1843.0,113.14420803251001
285,2019-08-05,South West,3267867.0,4890.0,137.0246494940508
286,2019-08-05,West Midlands,988541.0,1168.0,135.02561556416657
287,2019-08-05,Yorkshire and The Humber,3398313.0,4559.0,142.20023669782125
288,2019-08-12,East,5563127.0,7378.0,137.26325995788952
289,2019-08-12,East Midlands,4149607.0,5735.0,142.1056249580216
290,2019-08-12,London,1647413.0,1454.0,134.21186538588282
291,2019-08-12,North East,1094961.0,1504.0,143.5273753085344
292,2019-08-12,North West,2057140.0,2851.0,136.2379478192104
293,2019-08-12,South East,1574087.0,1883.0,115.52057256687108
294,2019-08-12,South West,3268999.0,4778.0,133.5736075453733
295,2019-08-12,West Midlands,988620.0,1224.0,141.8249077150434
296,2019-08-12,Yorkshire and The Humber,3399073.0,4327.0,135.18330280465915
297,2019-08-19,East,5565046.0,7455.0,138.40721907815103
298,2019-08-19,East Midlands,4150656.0,5436.0,134.8466159769305
299,2019-08-19,London,1648878.0,1462.0,132.6036114783898
300,2019-08-19,North East,1095075.0,1531.0,146.11262250005313
301,2019-08-19,North West,2057606.0,2979.0,141.90741517187993
302,2019-08-19,South East,1574373.0,1877.0,115.44782107104217
303,2019-08-19,South West,3269961.0,4791.0,133.96810386022307
304,2019-08-19,West Midlands,988575.0,1198.0,138.8686703934522
305,2019-08-19,Yorkshire and The Humber,3399690.0,4479.0,139.7343376924558
306,2019-08-26,East,5566124.0,6615.0,123.00609730861217
307,2019-08-26,East Midlands,4151392.0,5074.0,125.65830145938517
308,2019-08-26,London,1649908.0,1380.0,126.02014806463902
309,2019-08-26,North East,1095214.0,1337.0,127.32434447427583
310,2019-08-26,North West,2057692.0,2639.0,125.6147785494816
311,2019-08-26,South East,1574311.0,1651.0,101.64397658533105
312,2019-08-26,South West,3270789.0,4438.0,123.95939300787626
313,2019-08-26,West Midlands,988416.0,1093.0,126.57111641840191
314,2019-08-26,Yorkshire and The Humber,3399558.0,4176.0,130.53135537380405
315,2019-09-02,East,5567841.0,7186.0,133.2839063304826
316,2019-09-02,East Midlands,4152798.0,5787.0,142.94594047040593
317,2019-09-02,London,1651515.0,1507.0,134.75287083773
318,2019-09-02,North East,1095362.0,1578.0,149.78543229802966
319,2019-09-02,North West,2058060.0,2883.0,137.33918039371582
320,2019-09-02,South East,1574552.0,1953.0,119.9280331625286
321,2019-09-02,South West,3272274.0,4808.0,134.38275766153092
322,2019-09-02,West Midlands,988430.0,1208.0,139.0253936200363
323,2019-09-02,Yorkshire and The Humber,3400569.0,4611.0,143.71421185335686
324,2019-09-09,East,5569760.0,7518.0,139.1843011281389
325,2019-09-09,East Midlands,4153985.0,5636.0,139.1038624850516
326,2019-09-09,London,1653300.0,1521.0,137.72557675849822
327,2019-09-09,North East,1096182.0,1559.0,147.90118160855695
328,2019-09-09,North West,2058419.0,3232.0,153.6737038872621
329,2019-09-09,South East,1574523.0,1993.0,122.59864913654106
330,2019-09-09,South West,3273499.0,4967.0,139.4463321143034
331,2019-09-09,West Midlands,988593.0,1244.0,144.047189100168
332,2019-09-09,Yorkshire and The Humber,3401308.0,4720.0,146.32198715542341
333,2019-09-16,East,5570857.0,7861.0,145.28014986396772
334,2019-09-16,East Midlands,4155654.0,5944.0,146.55669727176686
335,2019-09-16,London,1655014.0,1593.0,142.09409608325865
336,2019-09-16,North East,1096371.0,1545.0,146.42898672972322
337,2019-09-16,North West,2058765.0,3123.0,148.8559526161673
338,2019-09-16,South East,1575599.0,1954.0,120.12329468903401
339,2019-09-16,South West,3275408.0,5025.0,140.59096175156375
340,2019-09-16,West Midlands,988551.0,1325.0,150.69156861719318
341,2019-09-16,Yorkshire and The Humber,3402488.0,4789.0,148.7648312339975
342,2019-09-23,East,5571147.0,7929.0,146.78464432821585
343,2019-09-23,East Midlands,4159524.0,6161.0,152.12199270309483
344,2019-09-23,London,1656825.0,1619.0,143.741702697891
345,2019-09-23,North East,1097452.0,1670.0,158.41491404840707
346,2019-09-23,North West,2058976.0,3148.0,150.0477557407779
347,2019-09-23,South East,1576657.0,2046.0,125.40245580283846
348,2019-09-23,South West,3276302.0,5173.0,144.83427405952034
349,2019-09-23,West Midlands,988691.0,1310.0,150.4254710298053
350,2019-09-23,Yorkshire and The Humber,3403050.0,4872.0,151.40060869570652
